representation,model,bin,n,mean_predicted,observed,events
sparse_phase_45,model1_elastic_net,9,238,0.277394026517868,0.2689075630252101,64
sparse_phase_45,model2_xgboost,0,238,0.0234538186341524,0.0210084033613445,5
sparse_phase_45,model2_xgboost,1,238,0.0308762583881616,0.0252100840336134,6
sparse_phase_45,model2_xgboost,2,237,0.0375266224145889,0.0253164556962025,6
sparse_phase_45,model2_xgboost,3,238,0.0438411459326744,0.0252100840336134,6
sparse_phase_45,model2_xgboost,4,237,0.050502736121416,0.0590717299578059,14
sparse_phase_45,model2_xgboost,5,238,0.0594934113323688,0.0462184873949579,11
sparse_phase_45,model2_xgboost,6,237,0.0713944286108017,0.0717299578059071,17
sparse_phase_45,model2_xgboost,7,238,0.0867889970541,0.1134453781512605,27
sparse_phase_45,model2_xgboost,8,237,0.1189074143767356,0.1350210970464135,32
sparse_phase_45,model2_xgboost,9,238,0.2608672380447387,0.2563025210084033,61
sparse_phase_45,model3_grud,0,238,0.0407936250509209,0.0252100840336134,6
sparse_phase_45,model3_grud,1,238,0.0695539112320216,0.0294117647058823,7
sparse_phase_45,model3_grud,2,237,0.09216191541042,0.0295358649789029,7
sparse_phase_45,model3_grud,3,238,0.1164357854413385,0.0546218487394958,13
sparse_phase_45,model3_grud,4,237,0.1476283255760176,0.0590717299578059,14
sparse_phase_45,model3_grud,5,238,0.1902654080205605,0.0798319327731092,19
sparse_phase_45,model3_grud,6,237,0.2532132787292013,0.0590717299578059,14
sparse_phase_45,model3_grud,7,238,0.351504606484365,0.0714285714285714,17
sparse_phase_45,model3_grud,8,237,0.5219881852719351,0.1350210970464135,32
sparse_phase_45,model3_grud,9,238,0.8003048889276361,0.2352941176470588,56
sparse_phase_59,model0_snapshot,0,238,0.0226633641868829,0.0126050420168067,3
sparse_phase_59,model0_snapshot,1,238,0.0367130227386951,0.0546218487394958,13
sparse_phase_59,model0_snapshot,2,237,0.0468570962548255,0.0379746835443038,9
sparse_phase_59,model0_snapshot,3,238,0.0560447722673416,0.0210084033613445,5
sparse_phase_59,model0_snapshot,4,237,0.0663879737257957,0.050632911392405,12
sparse_phase_59,model0_snapshot,5,238,0.077467955648899,0.0546218487394958,13
sparse_phase_59,model0_snapshot,6,237,0.0906976610422134,0.0717299578059071,17
sparse_phase_59,model0_snapshot,7,238,0.1070964112877845,0.088235294117647,21
sparse_phase_59,model0_snapshot,8,237,0.1366859823465347,0.1772151898734177,42
sparse_phase_59,model0_snapshot,9,238,0.2319486290216446,0.2100840336134453,50
sparse_phase_59,model1_elastic_net,0,238,0.0168442875146865,0.0168067226890756,4
sparse_phase_59,model1_elastic_net,1,238,0.0275600906461477,0.0210084033613445,5
sparse_phase_59,model1_elastic_net,2,237,0.0359000116586685,0.0295358649789029,7
sparse_phase_59,model1_elastic_net,3,238,0.0450696609914302,0.0462184873949579,11
sparse_phase_59,model1_elastic_net,4,237,0.0542059056460857,0.0295358649789029,7
sparse_phase_59,model1_elastic_net,5,238,0.0646512880921363,0.0504201680672268,12
sparse_phase_59,model1_elastic_net,6,237,0.0781900137662887,0.0675105485232067,16
sparse_phase_59,model1_elastic_net,7,238,0.097967691719532,0.1134453781512605,27
sparse_phase_59,model1_elastic_net,8,237,0.1313988417387008,0.1308016877637131,31
sparse_phase_59,model1_elastic_net,9,238,0.2850415706634521,0.2731092436974789,65
sparse_phase_59,model2_xgboost,0,238,0.0231865607202053,0.0168067226890756,4
sparse_phase_59,model2_xgboost,1,238,0.0308123975992202,0.0504201680672268,12
sparse_phase_59,model2_xgboost,2,237,0.0375119373202323,0.0168776371308016,4
sparse_phase_59,model2_xgboost,3,238,0.0440142005681991,0.0336134453781512,8
sparse_phase_59,model2_xgboost,4,237,0.0505164116621017,0.0295358649789029,7
sparse_phase_59,model2_xgboost,5,238,0.0592715963721275,0.0504201680672268,12
sparse_phase_59,model2_xgboost,6,237,0.0705209597945213,0.080168776371308,19
sparse_phase_59,model2_xgboost,7,238,0.0867370143532753,0.1134453781512605,27
sparse_phase_59,model2_xgboost,8,237,0.1191978007555008,0.1097046413502109,26
sparse_phase_59,model2_xgboost,9,238,0.2613204717636108,0.2773109243697479,66
sparse_phase_59,model3_grud,0,238,0.0403130249308124,0.0210084033613445,5
sparse_phase_59,model3_grud,1,238,0.0680126190623816,0.0504201680672268,12
sparse_phase_59,model3_grud,2,237,0.0919828259932341,0.0168776371308016,4
sparse_phase_59,model3_grud,3,238,0.1183735550138629,0.0378151260504201,9
sparse_phase_59,model3_grud,4,237,0.150323056030374,0.0421940928270042,10
sparse_phase_59,model3_grud,5,238,0.193113345371074,0.1050420168067226,25
sparse_phase_59,model3_grud,6,237,0.2538496865124642,0.0928270042194092,22
sparse_phase_59,model3_grud,7,238,0.3524496486457456,0.0588235294117647,14
sparse_phase_59,model3_grud,8,237,0.5267847018151344,0.1308016877637131,31
sparse_phase_59,model3_grud,9,238,0.801171222153832,0.2226890756302521,53
